#endpoint runtime CPU 4m 46s, "Triple count 12/13/19  total of 138,402,171,935 triples sorted by size"
http://lod.openlinksw.com/sparql,29093747374
http://bbc.openlinksw.com/sparql,29093747348
http://www.genome.jp/sparql/linkdb,11424742384
http://wikidata.demo.openlinksw.com/sparql,9348413297
https://query.wikidata.org/sparql,9004286827
http://www.ebi.ac.uk/rdf/services/atlas/sparql,5804263957
https://www.ebi.ac.uk/rdf/services/sparql,5804263957
http://opencitations.net/index/sparql,3596622790
http://sparql.datao.net/sparql,3433308904
https://colil.dbcls.jp/sparql,2795848463
https://sparql.orthodb.org/sparql,2246383760
http://data.e-stat.go.jp/lod/sparql/alldata/query,2086438460
https://babelnet.org/sparql/,1947548744
https://geosparql.demo.openlinksw.com/sparql,1699929066
http://dbpedia.org/sparql,1625383626
http://crtm.linkeddata.es/sparql/,1516937734
http://linkedgeodata.org/sparql,1385023596
https://bio2rdf.org/sparql,1377023536
http://lod.b3kat.de/sparql,1022898443
https://ruian.linked.opendata.cz/sparql,870639230
http://publications.europa.eu/webapi/rdf/sparql,834845604
https://jpsearch.go.jp/rdf/sparql,728347720
http://www.linklion.org:8890/sparql,727739934
http://linked.opendata.cz/sparql,611080954
https://linked.opendata.cz/sparql,611080954
http://live.dbpedia.org/sparql/,588681785
http://dbpedia-live.openlinksw.com/sparql,588681734
http://opencitations.net/sparql,526479413
https://opendata.aragon.es/sparql,465928462
http://www.rechercheisidore.fr/sparql/,402594208
https://isidore.science/sparql,402594208
https://data.bnf.fr/sparql,362357987
http://data.plan4all.eu/sparql,333491778
http://datos.bne.es/sparql,289777525
http://sparql.southgreen.fr/,273790796
https://sparql.omabrowser.org/sparql,258558584
https://lod.abes.fr/sparql,250481814
http://dati.camera.it/sparql,242478654
http://zbw.eu/beta/sparql/gnd/query,225993968
http://linkeddata.uriburner.com/sparql,222045165
http://uriburner.com/sparql,222045144
http://dati.beniculturali.it/sparql,215722277
http://serendipity.utpl.edu.ec/lod/sparql,215628290
http://data.allie.dbcls.jp/sparql,196786026
http://fr.dbpedia.org/sparql,185404535
http://kaiko.getalp.org/sparql,184442416
http://www.lotico.com:3030/lotico/sparql,180524233
http://rdf.pathwaycommons.org/sparql/,175319055
http://data.bibliotheken.nl/sparql,167056240
http://pt.dbpedia.org/sparql,163620050
https://www.europeandataportal.eu/sparql,144174813
