#Endpoint CPU time 21s, "FOAF.Person with a total count 196,034,549"
http://bbc.openlinksw.com/sparql,72545185
http://lod.openlinksw.com/sparql,72545185
https://geosparql.demo.openlinksw.com/sparql,14108333
https://lod.abes.fr/sparql,13585142
https://data.idref.fr/sparql,3148746
http://sparql.archives-ouvertes.fr/sparql,3002110
http://sparql.datao.net/sparql,2233499
http://serendipity.utpl.edu.ec/lod/sparql,2182242
https://bnb.data.bl.uk/sparql,1929257
https://data.bnf.fr/sparql,1862274
http://factforge.net/repositories/ff-news,1314486
http://dbpedia.org/sparql,1243396
http://dbpedia-live.openlinksw.com/sparql,936145
http://live.dbpedia.org/sparql/,936145
https://linked.opendata.cz/sparql,822717
http://lod.sztaki.hu/sparql,806994
http://de.dbpedia.org/sparql,644946
http://es.dbpedia.org/sparql,334259
http://pt.dbpedia.org/sparql,304870
http://fr.dbpedia.org/sparql,208796
https://www.europeandataportal.eu/sparql,202425
http://data.persee.fr/sparql,178429
http://data.open.ac.uk/query,141561
http://data.rism.info/sparql,139821
http://nl.dbpedia.org/sparql,133562
http://ja.dbpedia.org/sparql,122452
http://cocoon.huma-num.fr/sparql,89194
http://www.lotico.com:3030/lotico/sparql,69336
http://lod.xdams.org/sparql,57025
http://publications.europa.eu/webapi/rdf/sparql,43066
http://ldf.fi/kirjasampo/sparql,37355
http://dati.camera.it/sparql,31320
http://www.scholarlydata.org/sparql,20384
http://linkeddata.uriburner.com/sparql,13240
http://uriburner.com/sparql,13240
http://apps.morelab.deusto.es/labman/sparql,9922
https://eu.dbpedia.org/sparql,9922
http://dbtune.org/bbc/peel/sparql,8337
http://datos.bcn.cl/sparql,5464
http://data.archiveshub.ac.uk/sparql,3134
http://dati.senato.it/sparql,2026
http://ldf.fi/warsa/sparql,1586
http://host.geolink.org/sparql,1200
https://lov.linkeddata.es/dataset/lov/sparql,1036
http://data.nobelprize.org/sparql,910
http://harvard.eagle-i.net/sparqler/sparql,722
http://sparql.wikipathways.org/,670
http://sparql.data.southampton.ac.uk/,409
http://vocabulary.semantic-web.at/PoolParty/sparql/semweb,351
http://ohsu.eagle-i.net/sparqler/sparql,253
http://upr.eagle-i.net/sparqler/sparql,250
http://hawaii.eagle-i.net/sparqler/sparql,156
https://sparql.dl.itc.u-tokyo.ac.jp/,140
http://demo.openlinksw.com/sparql,122
https://semanticweb.cs.vu.nl/verrijktkoninkrijk/sparql/,86
http://montana.eagle-i.net/sparqler/sparql,77
https://cr.eionet.europa.eu/sparql,74
https://semantic.eea.europa.eu/sparql,65
http://data.ox.ac.uk/sparql/,64
http://alaska.eagle-i.net/sparqler/sparql,52
http://msm.eagle-i.net/sparqler/sparql,49
http://utsa.eagle-i.net/sparqler/sparql,45
http://cdrewu.eagle-i.net/sparqler/sparql,31
http://jsu.eagle-i.net/sparqler/sparql,31
http://xula.eagle-i.net/sparqler/sparql,29
http://utep.eagle-i.net/sparqler/sparql,24
http://vocabulary.semantic-web.at/PoolParty/sparql/AustrianSkiTeam,22
http://famu.eagle-i.net/sparqler/sparql,18
http://howard.eagle-i.net/sparqler/sparql,18
http://meharry.eagle-i.net/sparqler/sparql,15
http://tsu.eagle-i.net/sparqler/sparql,14
http://hunter-cuny.eagle-i.net/sparqler/sparql,9
http://uccaribe.eagle-i.net/sparqler/sparql,8
http://ccny-cuny.eagle-i.net/sparqler/sparql,7
http://psm.eagle-i.net/sparqler/sparql,7
http://rdf.disgenet.org/sparql/,7
https://landportal.org/sparql,7
https://bio2rdf.org/sparql,6
http://cau.eagle-i.net/sparqler/sparql,5
http://data.plan4all.eu/sparql,5
http://data.cnr.it/sparql-proxy/,4
http://digital-agenda-data.eu/sparql,4
http://rdf.muninn-project.org/sparql,4
http://registry.it.csiro.au/system/query,4
http://data.allie.dbcls.jp/sparql,2
http://sparql.odw.tw,2
http://tuskegee.eagle-i.net/sparqler/sparql,2
https://www.ebi.ac.uk/rdf/services/sparql,2
http://ldf.fi/ww1lod/sparql,1
http://taxref.mnhn.fr/sparql,1
http://zbw.eu/beta/sparql/gnd/query,1
