#Endpoint, status Sat Dec 12 2019
http://aemet.linkeddata.es/sparql, HTTP/1.1 200 OK
http://agrovoc.uniroma2.it/sparql, HTTP/1.1 200 OK
http://agrovoc.uniroma2.it:3030/agrovoc/sparql, HTTP/1.1 200 OK
http://alaska.eagle-i.net/sparqler/sparql, HTTP/1.1 200 OK
http://apps.morelab.deusto.es/labman/sparql, HTTP/1.1 200 OK
http://ariadne-registry.dcu.gr:8890/sparql, HTTP/1.1 200 OK
http://bbc.openlinksw.com/sparql, HTTP/1.1 200 OK
http://biordf.net/sparql, HTTP/1.1 200 OK
http://caligraph.org/sparql, HTTP/1.1 200 OK
http://cau.eagle-i.net/sparqler/sparql, HTTP/1.1 200 OK
http://ccny-cuny.eagle-i.net/sparqler/sparql, HTTP/1.1 200 OK
http://cdrewu.eagle-i.net/sparqler/sparql, HTTP/1.1 200 OK
http://crtm.linkeddata.es/sparql/, HTTP/1.1 200 OK
http://cultura.linkeddata.es/sparql, HTTP/1.1 200 OK
http://data.allie.dbcls.jp/sparql, HTTP/1.1 200 OK
http://data.americanartcollaborative.org/sparql, HTTP/1.1 200 OK
http://data.archaeologydataservice.ac.uk/sparql/repositories/archives, HTTP/1.1 200 OK
http://data.archiveshub.ac.uk/sparql, HTTP/1.1 200 OK
http://data.bibliotheken.nl/sparql, HTTP/1.1 200 OK
http://data.cervantesvirtual.com/openrdf-sesame/repositories/data, HTTP/1.1 200 OK
http://data.cnr.it/sparql-proxy/, HTTP/1.1 200 OK
http://data.colinda.org/endpoint.php, HTTP/1.1 200 OK
http://data.doremus.org/sparql, HTTP/1.1 200 OK
http://data.e-stat.go.jp/lod/sparql/alldata/query, HTTP/1.1 200 OK
http://data.fondazionezeri.unibo.it/sparql, HTTP/1.1 200 OK
http://data.hnm.hu/sparql, HTTP/1.1 200 OK
http://data.legilux.public.lu/sparql, HTTP/1.1 200 OK
http://data.logainm.ie/sparql/, HTTP/1.1 200 OK
http://data.mimo-db.eu/sparql, HTTP/1.1 502 Proxy Error
http://data.nationallibrary.fi/bib/sparql, HTTP/1.1 200 OK
http://data.nobelprize.org/sparql, HTTP/1.1 200 OK
